PERFORMER,SONG,FREQ,RUN_COUNT
Roberta Flack,Killing Me Softly With His Song,3,4
Usher,Burn,6,4
Andy Gibb,I Just Want To Be Your Everything,2,4
Next,Too Close,3,4
Far*East Movement Featuring Cataracs & Dev,Like A G6,1,4
Rae Sremmurd Featuring Gucci Mane,Black Beatles,5,4
Men At Work,Down Under,2,4
Maroon 5,Makes Me Wonder,1,4
Katy Perry,Firework,2,4
Taylor Swift,We Are Never Ever Getting Back Together,1,4
Gloria Gaynor,I Will Survive,1,4
Kelly Clarkson,Stronger (What Doesn't Kill You),1,4
The Emotions,Best Of My Love,3,4
Rupert Holmes,Escape (The Pina Colada Song),1,4
Savage Garden,I Knew I Loved You,2,4
Miley Cyrus,Wrecking Ball,1,4
T.I. Featuring Rihanna,Live Your Life,3,4
The Beatles,We Can Work It Out,1,4