PERFORMER,PREV_WEEKID,WEEKID,GAP
Prince And The Revolution,3-May-86,14-May-16,29.01
Donny Osmond,1-Apr-72,13-May-89,16.53
Cher,30-Mar-74,23-Sep-89,14.96
Eric Clapton,22-Apr-78,14-Mar-92,13.42
Ben E. King,17-Jun-61,26-Apr-75,13.38
The Beach Boys,14-Aug-76,29-Oct-88,11.79
Whitney Houston,8-Jan-00,3-Mar-12,11.74
Neil Sedaka,24-Nov-62,4-Jan-75,11.7
Eric Carmen,27-Mar-76,13-Feb-88,11.48
New Edition,5-Jan-85,31-Aug-96,11.25
The 4 Seasons,28-Mar-64,8-Nov-75,11.22
Dionne Warwick,23-Mar-68,20-Oct-79,11.18
Aretha Franklin,23-Feb-74,17-Aug-85,11.09
Queen,13-Dec-80,18-Apr-92,10.96
Herb Alpert,20-Jul-68,22-Sep-79,10.79
Natalie Cole,30-Apr-77,7-May-88,10.64
Bobby Vinton,9-Jan-65,16-Nov-74,9.51
The Beach Boys,17-Dec-66,14-Aug-76,9.33
Barbra Streisand,4-Jul-64,26-Jan-74,9.24
Lenny Kravitz,31-Aug-91,10-Feb-01,9.12
Cher,7-Oct-89,13-Feb-99,9.03
Don McLean,12-Feb-72,21-Mar-81,8.79
Bette Midler,12-Jul-80,3-Jun-89,8.59
Train,30-Jun-01,10-Apr-10,8.48
The Ventures,10-Sep-60,10-May-69,8.37
Britney Spears,6-Mar-99,13-Oct-07,8.31
Aerosmith,17-Feb-90,5-Sep-98,8.25
The Steve Miller Band,26-Jan-74,31-Jul-82,8.22
Brian Hyland,4-Aug-62,5-Dec-70,8.05
Keith Sweat,2-Apr-88,27-Jul-96,8.03
The Righteous Brothers,7-May-66,20-Jul-74,7.92
Nelly,21-Sep-02,16-Oct-10,7.79
Boston,14-Oct-78,1-Nov-86,7.77
George Harrison,14-Jul-73,20-Jun-81,7.66
Styx,30-Apr-83,9-Mar-91,7.59
Ray Stevens,11-Aug-62,23-May-70,7.51
Elvis Presley,30-Sep-61,14-Jun-69,7.44
Herb Alpert,10-Nov-79,20-Jun-87,7.35
Frankie Valli,29-Jul-67,1-Mar-75,7.33
David Bowie,11-Oct-75,7-May-83,7.31
Beyonce Featuring Jay Z,12-Aug-06,15-Feb-14,7.25
Robert John,1-Apr-72,29-Sep-79,7.24
Eminem,25-Jan-03,22-May-10,7.07
Sheena Easton,7-Nov-81,18-Feb-89,7.03
Johnnie Taylor,14-Dec-68,27-Mar-76,7.03
Rod Stewart,9-Jan-82,25-Mar-89,6.96
Joe Tex,6-Feb-65,8-Apr-72,6.92
Brook Benton,19-Jan-63,7-Mar-70,6.88
Michael Jackson,14-Oct-72,29-Sep-79,6.72
P nk,2-Feb-02,13-Sep-08,6.38